Code,Product label,"exportations growth in value between 2003-2004, %","exportations growth in value between 2004-2005, %","exportations growth in value between 2005-2006, %","exportations growth in value between 2006-2007, %","exportations growth in value between 2007-2008, %","exportations growth in value between 2008-2009, %","exportations growth in value between 2009-2010, %","exportations growth in value between 2010-2011, %","exportations growth in value between 2011-2012, %","exportations growth in value between 2012-2013, %","exportations growth in value between 2013-2014, %","exportations growth in value between 2014-2015, %","exportations growth in value between 2015-2016, %","exportations growth in value between 2016-2017, %","exportations growth in value between 2017-2018, %","exportations growth in value between 2018-2019, %","exportations growth in value between 2019-2020, %","exportations growth in value between 2020-2021, %","exportations growth in value between 2021-2022, %","Exported value in 2022,US Dollar thousand"
TOTAL,All products,13,13,14,20,31,-30,27,22,-1,3,8,-7,3,12,14,1,-6,32,16,42331463
31,Fertilisers,16,3,20,64,61,-51,124,48,4,-20,7,-9,14,21,23,-8,16,69,35,7715003
87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",18,38,55,37,24,11,10,74,132,66,50,8,19,8,14,-1,-6,39,26,6370692
85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",7,27,21,22,6,-20,32,21,-11,12,19,-7,7,13,17,8,-12,13,14,5995016
62,"Articles of apparel and clothing accessories, not knitted or crocheted",8,-4,16,7,-2,-10,-4,6,-1,0,6,-14,9,7,5,-4,-21,32,8,2726952
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",41,19,6,25,157,-66,63,29,-22,-14,7,9,-31,-2,32,-5,-15,84,7,2385771
08,Edible fruit and nuts; peel of citrus fruit or melons,9,35,-2,23,14,-20,12,29,-19,15,1,7,0,25,26,16,12,16,7,1880422
07,Edible vegetables and certain roots and tubers,10,10,8,66,-2,8,2,23,-9,22,6,5,-1,25,12,10,-6,13,13,1677661
25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",17,20,13,25,187,-73,84,45,2,-23,-9,8,-28,14,4,-10,-7,34,30,1617100
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",-27,40,12,23,13,-19,-4,16,2,8,4,5,15,7,4,-11,3,41,-10,1592459
88,"Aircraft, spacecraft, and parts thereof",5,72,317,-32,97,106,41,6,35,42,-8,-4,19,31,38,33,-10,18,20,1343967
16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",5,16,17,1,24,5,-3,-13,26,5,4,-11,1,6,14,3,2,-2,6,865532
61,"Articles of apparel and clothing accessories, knitted or crocheted",2,-10,6,18,-11,-7,3,16,-3,-7,2,-19,6,2,7,-6,-21,37,0,836976
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",64,-6,30,31,18,30,36,-6,-1,34,-1,-18,8,17,28,7,-4,10,-3,472761
17,Sugars and sugar confectionery,80,-4,61,-28,29,-5,22,12,-3,54,38,125,86,19,-26,22,35,14,28,456244
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",94,27,-18,23,48,-40,17,60,31,28,-24,-63,-56,21,49,27,-69,81,69,427400
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",254,43,-17,-39,36,-26,97,26,-29,-6,58,40,-7,-8,8,-3,3,11,47,382610
26,"Ores, slag and ash",33,41,83,30,-30,-4,42,5,9,0,-2,-1,5,50,-9,-22,4,43,-5,363441
64,"Footwear, gaiters and the like; parts of such articles",3,10,9,23,6,-1,-1,9,-20,9,4,-13,1,1,6,-9,-15,18,17,351209
39,Plastics and articles thereof,11,61,-14,96,36,-21,30,6,-14,0,46,-9,10,17,17,15,10,18,7,336830
94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",3,13,13,17,3,-14,17,-3,55,-18,15,-9,13,77,70,16,-32,10,7,326524
63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,28,9,7,12,2,178,84,21,-11,-8,24,2,25,-7,-8,-7,12,-22,24,303756
23,Residues and waste from the food industries; prepared animal fodder,-34,107,19,-5,76,32,32,-35,47,-2,56,-13,12,-10,-5,17,14,-7,45,267208
76,Aluminium and articles thereof,30,39,47,38,-14,-27,53,42,17,-6,17,-10,14,12,0,-15,0,77,13,246969
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",7,38,2,-7,-7,-11,2,20,4,14,1,1,8,35,16,14,-2,85,-27,236539
73,Articles of iron or steel,22,0,22,130,-6,-4,-30,46,11,-16,34,12,-7,8,18,11,13,36,-10,229013
20,"Preparations of vegetables, fruit, nuts or other parts of plants",24,-7,-1,16,36,-10,3,2,-7,2,19,-27,13,7,15,-4,-15,17,-2,221038
74,Copper and articles thereof,51,114,64,23,0,-17,103,76,-43,-22,-12,-12,-26,39,0,-7,-14,100,-8,211954
81,Other base metals; cermets; articles thereof,138,-34,-3,106,27,-53,9,-5,-28,-7,19,17,15,75,40,-11,-14,23,-1,135694
30,Pharmaceutical products,37,20,14,39,32,-4,12,-4,44,26,-2,-7,4,2,12,0,-6,22,-3,129784
40,Rubber and articles thereof,27,-22,-21,-19,0,87,177,49,14,-36,-24,-8,75,-4,42,13,8,2,28,124388
71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",0,31,43,-2,28,13,141,-6,-22,-36,28,-7,19,-26,-36,39,-7,5,-24,123384
48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",34,42,7,53,-33,2,29,46,-5,28,15,-14,-7,-1,11,3,0,17,9,119138
21,Miscellaneous edible preparations,-9,15,23,23,13,14,-7,-1,0,6,11,-1,15,19,40,-7,-26,11,11,115444
72,Iron and steel,174,2,9,-3,22,-60,50,40,-16,-17,-38,-30,45,42,-5,-36,-6,133,-38,106870
