Code,Product label,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
TOTAL,All products,8738341,9870179,11197413,12731303,15321255,20094617,14027369,17764791,21649934,21417184,21967951,23815816,22197567,22850021,25619900,29317739,29592492,27704922,36578743,42331463
31,Fertilisers,371608,431325,444344,533674,876747,1412452,697642,1561945,2317995,2416815,1924549,2060879,1872511,2133011,2580227,3168304,2914949,3385504,5714861,7715003
87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",46680,55256,76111,117890,161777,201129,223629,245346,426212,990919,1642522,2456599,2644755,3137905,3394836,3875243,3830883,3614653,5041423,6370692
85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",1176179,1257912,1599657,1930282,2359746,2504401,1998575,2632491,3172824,2834799,3170166,3781969,3509440,3739194,4228090,4925873,5300422,4658452,5249193,5995016
62,"Articles of apparel and clothing accessories, not knitted or crocheted",1952757,2116194,2040800,2377490,2532616,2483422,2236326,2142622,2280072,2256837,2261995,2401451,2060468,2238045,2401926,2533095,2424111,1911834,2518580,2726952
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",519657,732954,872760,925701,1153346,2968195,1018911,1663483,2147924,1676182,1448252,1543440,1678750,1162832,1137272,1503493,1433545,1217961,2236280,2385771
08,Edible fruit and nuts; peel of citrus fruit or melons,320419,348239,468674,457921,564416,644917,514805,575178,743440,601504,690664,696443,744154,742006,927867,1173523,1359731,1516152,1763942,1880422
07,Edible vegetables and certain roots and tubers,256405,281496,309620,335756,558603,549613,591561,601252,741087,672198,817424,864981,907412,902229,1129774,1269495,1395338,1317416,1483688,1677661
25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",416798,489720,585334,662021,828411,2377330,636967,1173944,1699374,1739410,1345705,1220714,1313633,948077,1080104,1121186,1003759,929765,1245099,1617100
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",616517,452741,632377,710652,876719,986469,802853,768141,893278,907527,978372,1016759,1062751,1222485,1312343,1361733,1214233,1251356,1759859,1592459
88,"Aircraft, spacecraft, and parts thereof",7102,7470,12820,53442,36199,71329,147220,207863,219869,296312,422007,387020,370238,442280,579462,797904,1057965,950112,1119412,1343967
16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",338328,356381,413382,484100,487292,604769,632884,614196,532618,671559,704752,734702,653320,658062,699420,794760,818256,834784,813943,865532
61,"Articles of apparel and clothing accessories, knitted or crocheted",838468,853965,772316,817221,962077,859166,801836,828151,957860,932403,862785,879368,714488,760654,778672,830914,779933,612512,836886,836976
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",48842,79975,75334,98228,128564,151261,196291,267047,249838,246937,330357,326117,268703,290726,339998,436416,465395,445600,489873,472761
17,Sugars and sugar confectionery,7381,13278,12707,20516,14839,19116,18107,22154,24785,24115,37060,51207,115335,214717,255997,189858,232442,312805,356690,456244
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",229172,445263,565888,462474,569572,841290,502404,588118,939922,1234594,1585610,1206311,442181,194596,234606,350665,446750,139225,252681,427400
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",27274,96554,137948,114081,69824,94784,70016,138048,173453,122465,115338,181812,255108,237053,218077,234751,227694,234915,260135,382610
26,"Ores, slag and ash",49454,65918,93044,170650,221462,155180,148683,210709,221488,240614,240288,234767,231802,242564,363554,329811,258761,267831,383231,363441
