product,year,value,share
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2003,46680,0.53
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2004,55256,0.56
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2005,76111,0.68
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2006,117890,0.93
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2007,161777,1.06
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2008,201129,1.0
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2009,223629,1.59
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2010,245346,1.38
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2011,426212,1.97
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2012,990919,4.63
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2013,1642522,7.48
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2014,2456599,10.31
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2015,2644755,11.91
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2016,3137905,13.73
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2017,3394836,13.25
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2018,3875243,13.22
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2019,3830883,12.95
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2020,3614653,13.05
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2021,5041423,13.78
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2022,6370692,15.05
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2003,1176179,13.46
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2004,1257912,12.74
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2005,1599657,14.29
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2006,1930282,15.16
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2007,2359746,15.4
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2008,2504401,12.46
