Code,Product label,"Share in value in country's cluster exports, % in 2003","Share in value in country's cluster exports, % in 2004","Share in value in country's cluster exports, % in 2005","Share in value in country's cluster exports, % in 2006","Share in value in country's cluster exports, % in 2007","Share in value in country's cluster exports, % in 2008","Share in value in country's cluster exports, % in 2009","Share in value in country's cluster exports, % in 2010","Share in value in country's cluster exports, % in 2011","Share in value in country's cluster exports, % in 2012","Share in value in country's cluster exports, % in 2013","Share in value in country's cluster exports, % in 2014","Share in value in country's cluster exports, % in 2015","Share in value in country's cluster exports, % in 2016","Share in value in country's cluster exports, % in 2017","Share in value in country's cluster exports, % in 2018","Share in value in country's cluster exports, % in 2019","Share in value in country's cluster exports, % in 2020","Share in value in country's cluster exports, % in 2021","Share in value in country's cluster exports, % in 2022"
TOTAL,All products,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,Fertilisers,4.25,4.37,3.97,4.19,5.72,07.03,4.97,8.79,10.71,11.28,8.76,8.65,8.44,9.33,10.07,10.81,9.85,12.22,15.62,18.23
87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",0.53,0.56,0.68,0.93,01.06,1,1.59,1.38,1.97,4.63,7.48,10.31,11.91,13.73,13.25,13.22,12.95,13.05,13.78,15.05
85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",13.46,12.74,14.29,15.16,15.4,12.46,14.25,14.82,14.66,13.24,14.43,15.88,15.81,16.36,16.5,16.8,17.91,16.81,14.35,14.16
62,"Articles of apparel and clothing accessories, not knitted or crocheted",22.35,21.44,18.23,18.67,16.53,12.36,15.94,12.06,10.53,10.54,10.3,10.08,9.28,9.79,9.38,8.64,8.19,6.9,6.89,6.44
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",5.95,7.43,7.79,7.27,7.53,14.77,7.26,9.36,9.92,7.83,6.59,6.48,7.56,05.09,4.44,5.13,4.84,4.4,6.11,5.64
08,Edible fruit and nuts; peel of citrus fruit or melons,3.67,3.53,4.19,3.6,3.68,3.21,3.67,3.24,3.43,2.81,3.14,2.92,3.35,3.25,3.62,4,4.59,5.47,4.82,4.44
07,Edible vegetables and certain roots and tubers,2.93,2.85,2.77,2.64,3.65,2.74,4.22,3.38,3.42,3.14,3.72,3.63,04.09,3.95,4.41,4.33,4.72,4.76,04.06,3.96
25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",4.77,4.96,5.23,5.2,5.41,11.83,4.54,6.61,7.85,8.12,6.13,5.13,5.92,4.15,4.22,3.82,3.39,3.36,3.4,3.82
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",07.06,4.59,5.65,5.58,5.72,4.91,5.72,4.32,4.13,4.24,4.45,4.27,4.79,5.35,5.12,4.64,4.1,4.52,4.81,3.76
88,"Aircraft, spacecraft, and parts thereof",0.08,0.08,0.11,0.42,0.24,0.35,01.05,1.17,01.02,1.38,1.92,1.63,1.67,1.94,2.26,2.72,3.58,3.43,03.06,3.17
16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",3.87,3.61,3.69,3.8,3.18,03.01,4.51,3.46,2.46,3.14,3.21,03.08,2.94,2.88,2.73,2.71,2.77,03.01,2.23,02.04
61,"Articles of apparel and clothing accessories, knitted or crocheted",9.6,8.65,6.9,6.42,6.28,4.28,5.72,4.66,4.42,4.35,3.93,3.69,3.22,3.33,03.04,2.83,2.64,2.21,2.29,1.98
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",0.56,0.81,0.67,0.77,0.84,0.75,1.4,1.5,1.15,1.15,1.5,1.37,1.21,1.27,1.33,1.49,1.57,1.61,1.34,1.12
17,Sugars and sugar confectionery,0.08,0.13,0.11,0.16,0.1,0.1,0.13,0.12,0.11,0.11,0.17,0.22,0.52,0.94,1,0.65,0.79,1.13,0.98,01.08
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",2.62,4.51,05.05,3.63,3.72,4.19,3.58,3.31,4.34,5.76,7.22,05.07,1.99,0.85,0.92,1.2,1.51,0.5,0.69,01.01
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",0.31,0.98,1.23,0.9,0.46,0.47,0.5,0.78,0.8,0.57,0.53,0.76,1.15,01.04,0.85,0.8,0.77,0.85,0.71,0.9
26,"Ores, slag and ash",0.57,0.67,0.83,1.34,1.45,0.77,01.06,1.19,01.02,1.12,01.09,0.99,01.04,01.06,1.42,1.12,0.87,0.97,01.05,0.86
64,"Footwear, gaiters and the like; parts of such articles",2.54,2.32,2.26,2.16,2.21,1.79,2.54,1.98,1.77,1.43,1.53,1.46,1.36,1.34,1.21,1.12,01.01,0.92,0.82,0.83
39,Plastics and articles thereof,0.31,0.31,0.44,0.33,0.54,0.56,0.64,0.65,0.57,0.49,0.48,0.64,0.63,0.67,0.7,0.72,0.82,0.96,0.86,0.8
94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",0.58,0.52,0.52,0.52,0.51,0.4,0.49,0.45,0.36,0.56,0.45,0.48,0.47,0.51,0.81,1.2,1.38,01.01,0.84,0.77
63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,0.3,0.34,0.32,0.3,0.28,0.22,0.87,1.27,1.25,1.12,01.01,1.16,1.27,1.54,1.28,01.02,0.94,1.13,0.67,0.72
23,Residues and waste from the food industries; prepared animal fodder,0.3,0.17,0.32,0.33,0.26,0.35,0.66,0.69,0.37,0.55,0.52,0.75,0.7,0.76,0.61,0.5,0.59,0.72,0.51,0.63
76,Aluminium and articles thereof,0.22,0.26,0.32,0.41,0.47,0.31,0.32,0.39,0.45,0.53,0.49,0.53,0.51,0.56,0.56,0.49,0.42,0.44,0.6,0.58
