product,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,value_2021,value_2022,share_2003,share_2004,share_2005,share_2006,share_2007,share_2008,share_2009,share_2010,share_2011,share_2012,share_2013,share_2014,share_2015,share_2016,share_2017,share_2018,share_2019,share_2020,share_2021,share_2022,growth_2003,growth_2004,growth_2005,growth_2006,growth_2007,growth_2008,growth_2009,growth_2010,growth_2011,growth_2012,growth_2013,growth_2014,growth_2015,growth_2016,growth_2017,growth_2018,growth_2019,growth_2020,growth_2021
All products,8738341,9870179,11197413,12731303,15321255,20094617,14027369,17764791,21649934,21417184,21967951,23815816,22197567,22850021,25619900,29317739,29592492,27704922,36578743,42331463,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,13.0,13.0,14.0,20.0,31.0,-30.0,27.0,22.0,-1.0,3.0,8.0,-7.0,3.0,12.0,14.0,1.0,-6.0,32.0,16.0
Fertilisers,371608,431325,444344,533674,876747,1412452,697642,1561945,2317995,2416815,1924549,2060879,1872511,2133011,2580227,3168304,2914949,3385504,5714861,7715003,4.25,4.37,3.97,4.19,5.72,7.03,4.97,8.79,10.71,11.28,8.76,8.65,8.44,9.33,10.07,10.81,9.85,12.22,15.62,18.23,16.0,3.0,20.0,64.0,61.0,-51.0,124.0,48.0,4.0,-20.0,7.0,-9.0,14.0,21.0,23.0,-8.0,16.0,69.0,35.0
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",46680,55256,76111,117890,161777,201129,223629,245346,426212,990919,1642522,2456599,2644755,3137905,3394836,3875243,3830883,3614653,5041423,6370692,0.53,0.56,0.68,0.93,1.06,1.0,1.59,1.38,1.97,4.63,7.48,10.31,11.91,13.73,13.25,13.22,12.95,13.05,13.78,15.05,18.0,38.0,55.0,37.0,24.0,11.0,10.0,74.0,132.0,66.0,50.0,8.0,19.0,8.0,14.0,-1.0,-6.0,39.0,26.0
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",1176179,1257912,1599657,1930282,2359746,2504401,1998575,2632491,3172824,2834799,3170166,3781969,3509440,3739194,4228090,4925873,5300422,4658452,5249193,5995016,13.46,12.74,14.29,15.16,15.4,12.46,14.25,14.82,14.66,13.24,14.43,15.88,15.81,16.36,16.5,16.8,17.91,16.81,14.35,14.16,7.0,27.0,21.0,22.0,6.0,-20.0,32.0,21.0,-11.0,12.0,19.0,-7.0,7.0,13.0,17.0,8.0,-12.0,13.0,14.0
"Articles of apparel and clothing accessories, not knitted or crocheted",1952757,2116194,2040800,2377490,2532616,2483422,2236326,2142622,2280072,2256837,2261995,2401451,2060468,2238045,2401926,2533095,2424111,1911834,2518580,2726952,22.35,21.44,18.23,18.67,16.53,12.36,15.94,12.06,10.53,10.54,10.3,10.08,9.28,9.79,9.38,8.64,8.19,6.9,6.89,6.44,8.0,-4.0,16.0,7.0,-2.0,-10.0,-4.0,6.0,-1.0,0.0,6.0,-14.0,9.0,7.0,5.0,-4.0,-21.0,32.0,8.0
"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",519657,732954,872760,925701,1153346,2968195,1018911,1663483,2147924,1676182,1448252,1543440,1678750,1162832,1137272,1503493,1433545,1217961,2236280,2385771,5.95,7.43,7.79,7.27,7.53,14.77,7.26,9.36,9.92,7.83,6.59,6.48,7.56,5.09,4.44,5.13,4.84,4.4,6.11,5.64,41.0,19.0,6.0,25.0,157.0,-66.0,63.0,29.0,-22.0,-14.0,7.0,9.0,-31.0,-2.0,32.0,-5.0,-15.0,84.0,7.0
Edible fruit and nuts; peel of citrus fruit or melons,320419,348239,468674,457921,564416,644917,514805,575178,743440,601504,690664,696443,744154,742006,927867,1173523,1359731,1516152,1763942,1880422,3.67,3.53,4.19,3.6,3.68,3.21,3.67,3.24,3.43,2.81,3.14,2.92,3.35,3.25,3.62,4.0,4.59,5.47,4.82,4.44,9.0,35.0,-2.0,23.0,14.0,-20.0,12.0,29.0,-19.0,15.0,1.0,7.0,0.0,25.0,26.0,16.0,12.0,16.0,7.0
Edible vegetables and certain roots and tubers,256405,281496,309620,335756,558603,549613,591561,601252,741087,672198,817424,864981,907412,902229,1129774,1269495,1395338,1317416,1483688,1677661,2.93,2.85,2.77,2.64,3.65,2.74,4.22,3.38,3.42,3.14,3.72,3.63,4.09,3.95,4.41,4.33,4.72,4.76,4.06,3.96,10.0,10.0,8.0,66.0,-2.0,8.0,2.0,23.0,-9.0,22.0,6.0,5.0,-1.0,25.0,12.0,10.0,-6.0,13.0,13.0
"Salt; sulphur; earths and stone; plastering materials, lime and cement",416798,489720,585334,662021,828411,2377330,636967,1173944,1699374,1739410,1345705,1220714,1313633,948077,1080104,1121186,1003759,929765,1245099,1617100,4.77,4.96,5.23,5.2,5.41,11.83,4.54,6.61,7.85,8.12,6.13,5.13,5.92,4.15,4.22,3.82,3.39,3.36,3.4,3.82,17.0,20.0,13.0,25.0,187.0,-73.0,84.0,45.0,2.0,-23.0,-9.0,8.0,-28.0,14.0,4.0,-10.0,-7.0,34.0,30.0
"Fish and crustaceans, molluscs and other aquatic invertebrates",616517,452741,632377,710652,876719,986469,802853,768141,893278,907527,978372,1016759,1062751,1222485,1312343,1361733,1214233,1251356,1759859,1592459,7.06,4.59,5.65,5.58,5.72,4.91,5.72,4.32,4.13,4.24,4.45,4.27,4.79,5.35,5.12,4.64,4.1,4.52,4.81,3.76,-27.0,40.0,12.0,23.0,13.0,-19.0,-4.0,16.0,2.0,8.0,4.0,5.0,15.0,7.0,4.0,-11.0,3.0,41.0,-10.0
"Aircraft, spacecraft, and parts thereof",7102,7470,12820,53442,36199,71329,147220,207863,219869,296312,422007,387020,370238,442280,579462,797904,1057965,950112,1119412,1343967,0.08,0.08,0.11,0.42,0.24,0.35,1.05,1.17,1.02,1.38,1.92,1.63,1.67,1.94,2.26,2.72,3.58,3.43,3.06,3.17,5.0,72.0,317.0,-32.0,97.0,106.0,41.0,6.0,35.0,42.0,-8.0,-4.0,19.0,31.0,38.0,33.0,-10.0,18.0,20.0
"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",338328,356381,413382,484100,487292,604769,632884,614196,532618,671559,704752,734702,653320,658062,699420,794760,818256,834784,813943,865532,3.87,3.61,3.69,3.8,3.18,3.01,4.51,3.46,2.46,3.14,3.21,3.08,2.94,2.88,2.73,2.71,2.77,3.01,2.23,2.04,5.0,16.0,17.0,1.0,24.0,5.0,-3.0,-13.0,26.0,5.0,4.0,-11.0,1.0,6.0,14.0,3.0,2.0,-2.0,6.0
"Articles of apparel and clothing accessories, knitted or crocheted",838468,853965,772316,817221,962077,859166,801836,828151,957860,932403,862785,879368,714488,760654,778672,830914,779933,612512,836886,836976,9.6,8.65,6.9,6.42,6.28,4.28,5.72,4.66,4.42,4.35,3.93,3.69,3.22,3.33,3.04,2.83,2.64,2.21,2.29,1.98,2.0,-10.0,6.0,18.0,-11.0,-7.0,3.0,16.0,-3.0,-7.0,2.0,-19.0,6.0,2.0,7.0,-6.0,-21.0,37.0,0.0
"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",48842,79975,75334,98228,128564,151261,196291,267047,249838,246937,330357,326117,268703,290726,339998,436416,465395,445600,489873,472761,0.56,0.81,0.67,0.77,0.84,0.75,1.4,1.5,1.15,1.15,1.5,1.37,1.21,1.27,1.33,1.49,1.57,1.61,1.34,1.12,64.0,-6.0,30.0,31.0,18.0,30.0,36.0,-6.0,-1.0,34.0,-1.0,-18.0,8.0,17.0,28.0,7.0,-4.0,10.0,-3.0
Sugars and sugar confectionery,7381,13278,12707,20516,14839,19116,18107,22154,24785,24115,37060,51207,115335,214717,255997,189858,232442,312805,356690,456244,0.08,0.13,0.11,0.16,0.1,0.1,0.13,0.12,0.11,0.11,0.17,0.22,0.52,0.94,1.0,0.65,0.79,1.13,0.98,1.08,80.0,-4.0,61.0,-28.0,29.0,-5.0,22.0,12.0,-3.0,54.0,38.0,125.0,86.0,19.0,-26.0,22.0,35.0,14.0,28.0
"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",229172,445263,565888,462474,569572,841290,502404,588118,939922,1234594,1585610,1206311,442181,194596,234606,350665,446750,139225,252681,427400,2.62,4.51,5.05,3.63,3.72,4.19,3.58,3.31,4.34,5.76,7.22,5.07,1.99,0.85,0.92,1.2,1.51,0.5,0.69,1.01,94.0,27.0,-18.0,23.0,48.0,-40.0,17.0,60.0,31.0,28.0,-24.0,-63.0,-56.0,21.0,49.0,27.0,-69.0,81.0,69.0
"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",27274,96554,137948,114081,69824,94784,70016,138048,173453,122465,115338,181812,255108,237053,218077,234751,227694,234915,260135,382610,0.31,0.98,1.23,0.9,0.46,0.47,0.5,0.78,0.8,0.57,0.53,0.76,1.15,1.04,0.85,0.8,0.77,0.85,0.71,0.9,254.0,43.0,-17.0,-39.0,36.0,-26.0,97.0,26.0,-29.0,-6.0,58.0,40.0,-7.0,-8.0,8.0,-3.0,3.0,11.0,47.0
"Ores, slag and ash",49454,65918,93044,170650,221462,155180,148683,210709,221488,240614,240288,234767,231802,242564,363554,329811,258761,267831,383231,363441,0.57,0.67,0.83,1.34,1.45,0.77,1.06,1.19,1.02,1.12,1.09,0.99,1.04,1.06,1.42,1.12,0.87,0.97,1.05,0.86,33.0,41.0,83.0,30.0,-30.0,-4.0,42.0,5.0,9.0,0.0,-2.0,-1.0,5.0,50.0,-9.0,-22.0,4.0,43.0,-5.0
"Footwear, gaiters and the like; parts of such articles",221687,229302,252980,275570,338368,359880,356236,351856,382633,307307,335221,347353,302012,306483,310892,329764,300152,255469,300473,351209,2.54,2.32,2.26,2.16,2.21,1.79,2.54,1.98,1.77,1.43,1.53,1.46,1.36,1.34,1.21,1.12,1.01,0.92,0.82,0.83,3.0,10.0,9.0,23.0,6.0,-1.0,-1.0,9.0,-20.0,9.0,4.0,-13.0,1.0,1.0,6.0,-9.0,-15.0,18.0,17.0
Plastics and articles thereof,27421,30402,48948,42087,82359,112343,89166,115842,123037,105624,105151,153080,139024,153551,180253,210153,241318,266216,315027,336830,0.31,0.31,0.44,0.33,0.54,0.56,0.64,0.65,0.57,0.49,0.48,0.64,0.63,0.67,0.7,0.72,0.82,0.96,0.86,0.8,11.0,61.0,-14.0,96.0,36.0,-21.0,30.0,6.0,-14.0,0.0,46.0,-9.0,10.0,17.0,17.0,15.0,10.0,18.0,7.0
"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",50370,51683,58353,66008,77419,79777,68531,80244,77633,120398,98841,113654,103791,117113,207778,353254,408694,278654,305473,326524,0.58,0.52,0.52,0.52,0.51,0.4,0.49,0.45,0.36,0.56,0.45,0.48,0.47,0.51,0.81,1.2,1.38,1.01,0.84,0.77,3.0,13.0,13.0,17.0,3.0,-14.0,17.0,-3.0,55.0,-18.0,15.0,-9.0,13.0,77.0,70.0,16.0,-32.0,10.0,7.0
Other made-up textile articles; sets; worn clothing and worn textile articles; rags,25923,33141,36021,38720,43211,44074,122393,224808,271125,240933,222168,275933,281748,351055,327261,299606,279068,313595,245477,303756,0.3,0.34,0.32,0.3,0.28,0.22,0.87,1.27,1.25,1.12,1.01,1.16,1.27,1.54,1.28,1.02,0.94,1.13,0.67,0.72,28.0,9.0,7.0,12.0,2.0,178.0,84.0,21.0,-11.0,-8.0,24.0,2.0,25.0,-7.0,-8.0,-7.0,12.0,-22.0,24.0
Residues and waste from the food industries; prepared animal fodder,25917,17110,35450,42195,40106,70635,93122,123286,79871,117289,114924,179284,155098,173196,155383,147828,173580,198509,184869,267208,0.3,0.17,0.32,0.33,0.26,0.35,0.66,0.69,0.37,0.55,0.52,0.75,0.7,0.76,0.61,0.5,0.59,0.72,0.51,0.63,-34.0,107.0,19.0,-5.0,76.0,32.0,32.0,-35.0,47.0,-2.0,56.0,-13.0,12.0,-10.0,-5.0,17.0,14.0,-7.0,45.0
Aluminium and articles thereof,19659,25556,35420,52056,71773,61454,44869,68426,97046,113842,107180,125474,113317,129056,144702,144647,122971,123175,218040,246969,0.22,0.26,0.32,0.41,0.47,0.31,0.32,0.39,0.45,0.53,0.49,0.53,0.51,0.56,0.56,0.49,0.42,0.44,0.6,0.58,30.0,39.0,47.0,38.0,-14.0,-27.0,53.0,42.0,17.0,-6.0,17.0,-10.0,14.0,12.0,0.0,-15.0,0.0,77.0,13.0
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",53481,57281,79007,80579,74926,69720,62131,63669,76426,79223,90708,91524,92021,99494,134622,156755,177960,174123,322116,236539,0.61,0.58,0.71,0.63,0.49,0.35,0.44,0.36,0.35,0.37,0.41,0.38,0.41,0.44,0.53,0.53,0.6,0.63,0.88,0.56,7.0,38.0,2.0,-7.0,-7.0,-11.0,2.0,20.0,4.0,14.0,1.0,1.0,8.0,35.0,16.0,14.0,-2.0,85.0,-27.0
Articles of iron or steel,27749,33953,33994,41610,95765,90286,86874,61204,89510,99775,83511,111673,125419,116090,125619,148802,164587,186326,254237,229013,0.32,0.34,0.3,0.33,0.63,0.45,0.62,0.34,0.41,0.47,0.38,0.47,0.57,0.51,0.49,0.51,0.56,0.67,0.7,0.54,22.0,0.0,22.0,130.0,-6.0,-4.0,-30.0,46.0,11.0,-16.0,34.0,12.0,-7.0,8.0,18.0,11.0,13.0,36.0,-10.0
"Preparations of vegetables, fruit, nuts or other parts of plants",121196,150704,139567,137744,159574,216518,193819,199169,203388,188972,192977,230520,169356,191341,204910,236087,227436,192959,226103,221038,1.39,1.53,1.25,1.08,1.04,1.08,1.38,1.12,0.94,0.88,0.88,0.97,0.76,0.84,0.8,0.81,0.77,0.7,0.62,0.52,24.0,-7.0,-1.0,16.0,36.0,-10.0,3.0,2.0,-7.0,2.0,19.0,-27.0,13.0,7.0,15.0,-4.0,-15.0,17.0,-2.0
Copper and articles thereof,20836,31533,67486,110822,136841,137335,113779,230520,405999,231270,180386,158923,139773,103380,143836,143445,134034,115448,231328,211954,0.24,0.32,0.6,0.87,0.89,0.68,0.81,1.3,1.88,1.08,0.82,0.67,0.63,0.45,0.56,0.49,0.45,0.42,0.63,0.5,51.0,114.0,64.0,23.0,0.0,-17.0,103.0,76.0,-43.0,-22.0,-12.0,-12.0,-26.0,39.0,0.0,-7.0,-14.0,100.0,-8.0
